,id,users,duration,replication_sync,operation,database,type,name,request_count,failure_count,median_response_time,average_response_time,min_response_time,max_response_time,average_content_size,requests/s,failures/s
0,1,10,300,WEAK,Write,MongoDB,query,MongoDB INSERT query,407140,82,4,6.550763865009579,1,852,0.0,1358.2578303662274,0.2735598125706898
1,2,20,300,WEAK,Write,MongoDB,query,MongoDB INSERT query,384399,245,9,14.30708716724029,1,1239,0.0,1282.7672813152735,0.8175827302418635
2,3,30,300,WEAK,Write,MongoDB,query,MongoDB INSERT query,441575,445,11,18.362869274755138,1,1122,0.0,1473.2787254767622,1.4847059567166605
3,4,40,300,WEAK,Write,MongoDB,query,MongoDB INSERT query,419246,592,15,25.281674720808308,1,1098,0.0,1398.7548714302588,1.97512411301888
4,5,50,300,WEAK,Write,MongoDB,query,MongoDB INSERT query,389033,698,18,34.22000447262828,1,1042,0.0,1297.8191229553904,2.328537033678024
5,6,60,300,WEAK,Write,MongoDB,query,MongoDB INSERT query,338421,759,29,47.32259818391885,1,1156,0.0,1128.9752447554208,2.532030254533153
6,7,70,300,WEAK,Write,MongoDB,query,MongoDB INSERT query,326015,817,48,57.448037666978514,1,1535,0.0,1087.608519669153,2.725568334492886
7,8,80,300,WEAK,Write,MongoDB,query,MongoDB INSERT query,340314,962,50,62.71770482554347,1,1136,0.0,1135.3147216225937,3.2093089388063234
8,9,90,300,WEAK,Write,MongoDB,query,MongoDB INSERT query,364109,1168,49,65.28186065161806,1,1010,0.0,1215.2176782470508,3.898212480857533
9,10,100,300,WEAK,Write,MongoDB,query,MongoDB INSERT query,379925,1382,52,69.0894597617951,1,1147,0.0,1267.7125987875725,4.611380697570376
10,11,10,300,STRONG,Write,MongoDB,query,MongoDB INSERT query,87041,330,16,33.45732470904516,1,672,0.0,290.4107669110375,1.1010392008437675
11,12,20,300,STRONG,Write,MongoDB,query,MongoDB INSERT query,115336,434,36,50.16281126447944,3,664,0.0,384.741474699641,1.4477509192242162
12,13,30,300,STRONG,Write,MongoDB,query,MongoDB INSERT query,137702,536,69,62.35897082104835,3,405,0.0,459.4468218449917,1.788379954604258
13,14,40,300,STRONG,Write,MongoDB,query,MongoDB INSERT query,161058,732,72,70.14438276894037,3,725,0.0,537.3444315849686,2.4422017156564526
14,15,50,300,STRONG,Write,MongoDB,query,MongoDB INSERT query,175590,788,76,80.07703741670937,3,393,0.0,585.9433109290139,2.6295536705510734
15,16,60,300,STRONG,Write,MongoDB,query,MongoDB INSERT query,198167,922,77,84.73021239661497,3,443,0.0,661.0902547681768,3.075815927456433
16,17,70,300,STRONG,Write,MongoDB,query,MongoDB INSERT query,217503,1081,77,89.60351351475612,3,508,0.0,725.5853373197959,3.606192786502712
17,18,80,300,STRONG,Write,MongoDB,query,MongoDB INSERT query,232063,1146,76,95.80179089299028,2,670,0.0,774.2227473105543,3.823355159667397
