id,users,duration,replication_sync,operation,database
1,10,300,WEAK,Write,Cassandra
2,20,300,WEAK,Write,Cassandra
3,30,300,WEAK,Write,Cassandra
4,40,300,WEAK,Write,Cassandra
5,50,300,WEAK,Write,Cassandra
6,60,300,WEAK,Write,Cassandra
7,70,300,WEAK,Write,Cassandra
8,80,300,WEAK,Write,Cassandra
9,90,300,WEAK,Write,Cassandra
10,100,300,WEAK,Write,Cassandra
11,10,300,STRONG,Write,Cassandra
12,20,300,STRONG,Write,Cassandra
13,30,300,STRONG,Write,Cassandra
14,40,300,STRONG,Write,Cassandra
15,50,300,STRONG,Write,Cassandra
16,60,300,STRONG,Write,Cassandra
17,70,300,STRONG,Write,Cassandra
18,80,300,STRONG,Write,Cassandra
19,90,300,STRONG,Write,Cassandra
20,100,300,STRONG,Write,Cassandra
21,10,300,WEAK,Read,Cassandra
22,20,300,WEAK,Read,Cassandra
23,30,300,WEAK,Read,Cassandra
24,40,300,WEAK,Read,Cassandra
25,50,300,WEAK,Read,Cassandra
26,60,300,WEAK,Read,Cassandra
27,70,300,WEAK,Read,Cassandra
28,80,300,WEAK,Read,Cassandra
29,90,300,WEAK,Read,Cassandra
30,100,300,WEAK,Read,Cassandra
31,10,300,STRONG,Read,Cassandra
32,20,300,STRONG,Read,Cassandra
33,30,300,STRONG,Read,Cassandra
34,40,300,STRONG,Read,Cassandra
35,50,300,STRONG,Read,Cassandra
36,60,300,STRONG,Read,Cassandra
37,70,300,STRONG,Read,Cassandra
38,80,300,STRONG,Read,Cassandra
39,90,300,STRONG,Read,Cassandra
40,100,300,STRONG,Read,Cassandra
